t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
799279196.995,799279206.995,799279202.2338996,799279197.011,799279206.99,23.491039319197462,1.697337581654243,4.839154099754677e-15,3.496515418207741e-16,16.65274442052861,0.07574487840503608,0.08142807204658098,23.747009844659775,1.6888447360361378,4.8918840279999136e-15,3.479020156234444e-16,16.64097766927877,0.07459350281385824,0.08009887282965522,24.56684296853726,1.6613513109740645,5.060769651518675e-15,3.422383700606573e-16,16.60412662542953,0.07104760529478682,0.07602432913030555,189.0,218.66322175771097,6.0,5.201481564903644,8.90074569360633,9.575454699027164,7.297126146828352,0.8644286966366312,557.6038208007812,351.9656066894531,164.76124323310103,244.272665806451,55.2685873730653,0.0
799279206.995,799279216.995,799279211.7293661,799279207.013,799279216.896,23.849109192213245,1.7444159607090612,4.9129164935959286e-15,3.593496879060666e-16,16.636319595032553,0.07664486514552848,0.0824691745837498,24.651722574326456,1.718384057133933,5.07825485031125e-15,3.539871157695902e-16,16.600381820947952,0.07316153577674456,0.07844997484223626,25.47155569820394,1.691380059163263,5.2471404738300114e-15,3.484242921876322e-16,16.564861323249318,0.06980308947247593,0.07460103182780031,194.0,226.79241687784523,9.0,7.847134610900048,8.903752074076767,14.44586144279327,7.299590877120994,0.855553577157695,557.10986328125,353.20465087890625,163.93082028593074,244.2723908469277,55.268625665023926,0.0
799279216.995,799279226.995,799279221.9009186,799279217.237,799279226.831,22.79028263647556,1.696721387925184,4.694798223113965e-15,3.495246059125879e-16,16.685625722075322,0.07796485360248795,0.08399950709337389,23.404552881956352,1.6762884007573364,4.8213378936830085e-15,3.453154105560113e-16,16.656749127930098,0.0751043776163236,0.08068827466932404,24.224386005833836,1.6486231025811846,4.99022351720177e-15,3.39616359131724e-16,16.619368054543102,0.07148540804904258,0.0765258570656222,184.0,215.90504649066827,8.0,6.943175279329441,8.912714916228339,12.781754491492833,7.306938912000938,0.8522912608463981,557.4589233398438,354.997802734375,163.76358049968565,244.27266314985314,55.2686764303788,0.0
799279226.995,799279236.995,799279232.2709119,799279227.033,799279236.941,24.743377275196348,1.7140164066203367,5.097135718690447e-15,3.5308737976378937e-16,16.596352557252445,0.07272020626177422,0.0779427297412667,24.6406507459041,1.7173761993386167,5.0759740536562445e-15,3.5377949706375503e-16,16.6008695672001,0.07315181124779357,0.07843879311235824,25.460483869781584,1.6903765787695488,5.244859677175006e-15,3.4821757522652704e-16,16.565333367379587,0.06979236122824517,0.07458877760693028,193.0,226.86441142352862,4.0,3.470971867273822,8.910451685986548,6.389743664754081,7.305083440881756,0.8508477044729055,558.81689453125,356.3381652832031,164.70932517434184,244.27259561355797,55.268553052540526,0.0
799279236.995,799279246.995,799279242.1610233,799279237.008,799279246.911,26.69543771699166,1.7749896611913762,5.499260169700282e-15,3.656478702054235e-16,16.513907384382136,0.0698923506859046,0.07470299954124826,26.579004083443838,1.7786629430061804,5.4752748411894305e-15,3.6640456625927317e-16,16.518653240308645,0.07032948719132293,0.07520262270740119,27.39883720732132,1.7526348779906442,5.644160464708192e-15,3.610427848660727e-16,16.485669670062137,0.06732089647772455,0.07177266942976246,214.0,244.3888365520607,4.0,3.408151868121249,8.919679134658928,6.274097757223208,7.312648408952253,0.8760123389927749,560.7188110351562,357.2626953125,166.30397900383042,244.27265468469588,55.26868585269806,0.0
799279246.995,799279256.995,799279251.853232,799279247.041,799279256.988,24.0961748440048,1.7030032471875898,4.963812017864988e-15,3.5081866892064347e-16,16.625129735470665,0.07414441160494789,0.07958124435473124,24.1654074512859,1.7007233342763775,4.978073934964896e-15,3.5034900686093377e-16,16.622014694634363,0.07384336749317555,0.0792345148140221,24.985240575163388,1.6734890931958895,5.1469595584836575e-15,3.447387531983532e-16,16.58579116128463,0.07038978812343544,0.07527157722434907,194.0,222.90576384544983,5.0,4.308630896880582,8.921497600748724,7.931797787439253,7.314139247687316,0.870403060769031,562.2838134765625,357.2069396972656,167.83111191483297,244.2728918752755,55.26852801233557,0.0
799279256.995,799279266.995,799279262.1376173,799279257.092,799279266.984,25.91122837020556,1.8185814749977862,5.3377130442623456e-15,3.7462778384954393e-16,16.546279994961466,0.07364722358859055,0.07900871603946058,26.889956677525692,1.7881679499370666,5.539331075570293e-15,3.6836259768703573e-16,16.506024743672562,0.0699016130296215,0.07471358142538875,27.709789801403176,1.7622880911191128,5.708216699089054e-15,3.630313467705372e-16,16.473416921599718,0.06694381241589298,0.0713442052771498,217.0,247.2365358484037,10.0,8.717106504155124,8.922353349496865,16.047400609921933,7.314840818856758,0.8777570086899251,563.6854248046875,356.197998046875,169.44478058822753,244.27289330304637,55.26863710935374,0.0
799279266.995,799279276.995,799279271.7272619,799279267.125,799279276.949,26.085657676242597,1.7671839117129373,5.373645481305975e-15,3.6403988581286507e-16,16.538995523234558,0.07116929606774036,0.07616368928942663,26.15489032916756,1.764987101325702,5.387907407808518e-15,3.6358734287309457e-16,16.53611774171392,0.07090151017184709,0.07585706538383974,26.974723453045044,1.7387620846373562,5.556793031327279e-15,3.5818498943529537e-16,16.50260749760727,0.0678222846566996,0.07234286761803688,210.0,240.67649549606585,5.0,4.309017211661424,8.92229705023712,7.932508957831257,7.31479466285877,0.8726701814985542,564.6398315429688,354.69122314453125,170.7605322978228,244.27294691319466,55.26867171965423,0.0
799279276.995,799279286.995,799279282.0793266,799279277.007,799279286.858,25.49323987187803,1.7371041016310442,5.251607413606874e-15,3.578434449359951e-16,16.563937419068576,0.07157023751703662,0.07662308423915576,25.394614575376334,1.7402814118785492,5.231290602527524e-15,3.5849797084698115e-16,16.5681459356332,0.07196633861543233,0.07707729083455916,26.21444769925382,1.713690649871496,5.400176226046287e-15,3.530202738735282e-16,16.533648219536445,0.06875318753507287,0.07340302084919159,202.0,234.0003839664563,4.0,3.4970669516659765,8.926390006420657,6.437782342839639,7.318150203912612,0.8633293747469037,564.7493896484375,352.86102294921875,171.36056882178806,244.27284377557507,55.268701483935246,0.0
799279286.995,799279296.995,799279292.1402677,799279287.077,799279296.988,24.51873536312739,1.7279782074707246,5.050859484804242e-15,3.559635107389693e-16,16.606254834464316,0.07394216405663201,0.07934828160389884,24.77360706812047,1.7197011022599855,5.1033630560328165e-15,3.54258427065557e-16,16.595026887478614,0.07286736555817797,0.0781118190414567,25.593440191997956,1.6928021039859857,5.272248679551579e-15,3.4871723342111307e-16,16.559678334130837,0.06953766226811098,0.07429792663654311,198.0,228.58353905429834,6.0,5.214025417257467,8.93133308142636,9.598546790860338,7.322202700536098,0.8663334862138343,563.6998291015625,351.16064453125,170.83008133956878,244.27239126328917,55.26863450522628,0.0
